_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf71ad7,1441,1441,2012,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,28,Right forearm and wrist injured
6696ff4dc10ca7acadf71ad8,1442,1442,2012,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,34,"No injury, punctures to swim fin"
6696ff4dc10ca7acadf71ad9,1443,1443,2011,Unprovoked,USA,Florida,NaN,M,NaN,Hand injured
6696ff4dc10ca7acadf71ada,1444,1444,2011,Invalid,ANTIGUA,St John's,Swimming,M,NaN,Bitten on right hand & wrist
6696ff4dc10ca7acadf71adb,1445,1445,2011,Unprovoked,ECUADOR,Santa Elena,Surfing,M,23,Lacerations to left thigh and calf
6696ff4dc10ca7acadf71adc,1446,1446,2011,Unprovoked,USA,Florida,Surfing,M,27,Laceration to ankle
6696ff4dc10ca7acadf71add,1447,1447,2011,Provoked,USA,Hawaii,Canoeing,M,NaN,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT"
6696ff4dc10ca7acadf71ade,1448,1448,2011,Watercraft,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,M,35,No injury but kayak dented
6696ff4dc10ca7acadf71adf,1449,1449,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,51,5 puncture wounds to thigh
6696ff4dc10ca7acadf71ae0,1450,1450,2011,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surf skiing ,M,NaN,"No injury, ski damaged"
6696ff4dc10ca7acadf71ae1,1451,1451,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,14,Minor injuries to left leg 
6696ff4dc10ca7acadf71ae2,1452,1452,2011,Unprovoked,USA,Oregon,Surfing,F,NaN,Minor injury to calf 
6696ff4dc10ca7acadf71ae3,1453,1453,2011,Invalid,AUSTRALIA,Queensland,Spearfishing,NaN,NaN,Killed by a shark or crocodile.
